,Media Source,Tweets Ago,Date,Positive,Negative,Neutral,Compound,Text
99,@BBC,100,Fri Apr 06 12:18:09 +0000 2018,0.0,1.0,0.0,0.0,RT @BBCOne: For all the drama queens. 👑 https://t.co/RfdMDieaCZ
100,@CBS,1,Wed Apr 11 01:36:16 +0000 2018,0.0,1.0,0.0,0.0,"#ACMawards nominee @littlebigtown soars with their performance of ""Rocket Man."" #EltonSalute https://t.co/IjKKd7k7Gw"
101,@CBS,2,Wed Apr 11 01:35:24 +0000 2018,0.152,0.848,0.0,0.5267,RT @eltonofficial: Did you know @ladygaga’s fabulous outfit tonight is also a homage to this famous photo? Elton xo #EltonSalute #EltonREVA…
102,@CBS,3,Wed Apr 11 01:30:21 +0000 2018,0.291,0.709,0.0,0.5719,Life is wonderful when @ladygaga is on stage. #EltonSalute https://t.co/6TCYwDEOyN
103,@CBS,4,Wed Apr 11 01:28:02 +0000 2018,0.347,0.653,0.0,0.8779,"RT @RecordingAcad: W-O-W GRAMMY winner @AlessiaCara is giving us the ALL the music feels with a beautiful performance of ""I Guess That's Wh…"
104,@CBS,5,Wed Apr 11 01:23:10 +0000 2018,0.0,1.0,0.0,0.0,What an incredible performance from @alessiacara! #EltonSalute https://t.co/PVRl5Wia3c
105,@CBS,6,Wed Apr 11 01:18:48 +0000 2018,0.433,0.567,0.0,0.9042,"RT @eltonofficial: Such kind words from @samsmithworld, thank you. He’s a terrific guy, the nicest you’ll ever meet. Elton xo #EltonSalute…"
106,@CBS,7,Wed Apr 11 01:05:50 +0000 2018,0.0,1.0,0.0,0.0,RT @eltonofficial: Here we go and what a way to start this #EltonSalute! @MileyCyrus gives her all to everything she does and she took the…
107,@CBS,8,Wed Apr 11 01:05:42 +0000 2018,0.289,0.711,0.0,0.7269,"""I feel quite close to you and it's nice to be here honoring you."" -@edsheeran #EltonSalute https://t.co/EMkrZzzUsM"
108,@CBS,9,Wed Apr 11 01:01:55 +0000 2018,0.293,0.707,0.0,0.4404,The stage is 🔥 thanks to @MileyCyrus. #EltonSalute https://t.co/QEh8k77H0J
109,@CBS,10,Wed Apr 11 00:59:36 +0000 2018,0.177,0.823,0.0,0.4199,Get ready to get on your feet and dance. The #EltonSalute starts NOW! https://t.co/rFiOTC7tlA
110,@CBS,11,Tue Apr 10 23:53:30 +0000 2018,0.093,0.907,0.0,0.1867,RT @reba: Don't miss Reba TONGHT on the @latelateshow at 12:37 AM ET / 11:37 PM CT! #ACMawards https://t.co/DHqeHuBzvi
111,@CBS,12,Tue Apr 10 23:19:45 +0000 2018,0.0,1.0,0.0,0.0,"He’s still standing, bangin' the keys… and rockin' out! Stream the #EltonSalute TONIGHT at 9/8c on CBS and CBS All… https://t.co/9TzixIliLf"
